deputy_name,party,district
guilherme silva,psd,madeira
joel sá,psd,braga
artur rêgo,cds,faro
hugo carvalho,ps,porto
rosalina martins,ps,viana do castelo
vítor fontes,ps,aveiro
bruno inácio,psd,faro
pedro farmhouse,ps,lisboa
maria manuel rola,be,porto
josé gusmão,be,santarém
miguel macedo,psd,braga
berta cabral,psd,açores
olga silvestre,psd,leiria
susana lamas,psd,aveiro
jorge campos,be,porto
edite estrela,ps,lisboa
hugo oliveira,ps,aveiro
margarida marques,ps,leiria
joão lobo,psd,braga
alberto machado,psd,porto
adolfo mesquita nunes,psd,bragança
joão marques,ps,castelo branco
antónio lima costa,psd,viseu
joão gomes marques,psd,leiria
inês lamego,ps,aveiro
joana barata lopes,psd,lisboa
feliciano barreiras duarte,psd,leiria
nuno encarnação,psd,coimbra
jorge machado,pcp,porto
fernando barbosa,cds,porto
márcia passos,psd,porto
ulisses pereira,psd,aveiro
andreia neto,psd,porto
lurdes ribeiro,pcp,porto
alberto costa,ps,lisboa
vânia dias da silva,cds,braga
andré silva,pan,lisboa
maria de lurdes ruivo,ps,porto
glória araújo,ps,porto
francisco de assis,ps,porto
paula gonçalves,psd,porto
marta freitas,ps,lisboa
paulo trigo pereira,independente,setúbal
ascenso simões,ps,vila real
teresa santos,psd,viseu
paulo moniz,psd,açores
paulo marques,ps,lisboa
elsa cordeiro,psd,faro
adriano rafael moreira,psd,porto
raquel ferreira,ps,coimbra
miguel matos,ps,lisboa
ana drago,be,lisboa
miguel coelho,ps,lisboa
maria manuela augusto,ps,lisboa
ângela moreira,pcp,porto
ricardo baptista leite,psd,lisboa
paulo portas,cds,lisboa
paulo simões ribeiro,psd,setúbal
filipe anacoreta correia,cds,lisboa
conceição casa nova,ps,beja
helena lopes da costa,psd,lisboa
josé ribeiro e castro,cds,porto
rui paulo figueiredo,ps,lisboa
ana miguel dos santos,psd,aveiro
rui barreto,cds,madeira
afonso oliveira,psd,porto
pedro cegonho,ps,lisboa
alberto fonseca,psd,porto
valter ribeiro,psd,leiria
ferro rodrigues,ps,lisboa
carlos páscoa gonçalves,psd,fora europa
joacine katar moreira,independente,lisboa
maria joaquina matos,ps,faro
maria conceição loureiro,ps,porto
pedro delgado alves,ps,lisboa
cristina mendes da silva,ps,porto
josé lino ramos,cds,lisboa
josé rui cruz,ps,viseu
paula baptista,pcp,porto
manuel pizarro,ps,porto
teresa morais,psd,leiria
emília santos,psd,porto
joão soares,ps,lisboa
pedro mota soares,cds,porto
clara carneiro,psd,lisboa
isabel galriça neto,cds,lisboa
manuel rodrigues,psd,coimbra
diogo leão,ps,lisboa
joão azevedo castro,ps,açores
raul miguel castro,ps,leiria
fernando virgílio macedo,psd,porto
manuel seabra,ps,porto
maria luísa santos,ps,açores
maria germana rocha,psd,porto
joão gonçalves pereira,cds,lisboa
pedro coimbra,ps,coimbra
josé manuel rodrigues,cds,madeira
teresa anjinho,cds,aveiro
telmo correia,cds,braga
pedro lynce,psd,évora
miguel freitas,ps,faro
josé luís carneiro,ps,porto
maria josé castelo branco,psd,porto
carlos costa neves,psd,porto
cláudia monteiro de aguiar,psd,madeira
valter loios,pcp,évora
maria das mercês borges,psd,santaŕem
luís miguel frança,ps,madeira
fabíola cardoso,be,santaŕem
patrícia fonseca,cds,santaŕem
ângela guerra,psd,guarda
anabela rodrigues,ps,viana do castelo
joão serrano,ps,lisboa
paulo pisco,ps,europa
pedro morais soares,cds,lisboa
antónio borges,ps,viseu
elza pais,ps,leiria/coimbra
catarina martins,be,porto
pedro brandão rodrigues,ps,viana do castelo
fernando negrão,psd,setúbal/braga
arménio santos,psd,lisboa
antónio maló de abreu,psd,coimbra
antónio braga,ps,braga
jerónimo de sousa,pcp,lisboa
ivo oliveira,ps,vila real
rubina berardo,psd,madeira
sofia matos,psd,porto
altino bessa,cds,braga
joão azevedo,ps,viseu
inês de medeiros,ps,setúbal
heitor sousa,be,leiria
idália salvador serrão,ps,santaŕem
hugo velosa,psd,madeira
álvaro batista,psd,castelo branco
maria conceição pereira,psd,leiria
raúl de almeida,cds,aveiro
pedro nuno santos,ps,aveiro
paula teixeira da cruz,psd,lisboa
bravo nico,ps,évora
paulo leitão,psd,coimbra
miguel morgado,psd,porto
paula barros,ps,vila real
mário simões,psd,beja
maurício marques,psd,coimbra
beatriz gomes dias,be,lisboa
pedro do ó ramos,psd,setúbal
paulo porto,ps,fora europa
diana ferreira,pcp,porto
joão pinho de almeida,cds,aveiro/porto
nuno sá costa,psd,porto
isilda aguincha,psd,santaŕem
filipe neto brandão,ps,aveiro
carlos silva,psd,lisboa
rui cruz,psd,aveiro
teresa leal coelho,psd,santaŕem
luís monteiro,be,porto
álvaro almeida,psd,porto
joão dias,pcp,beja
ivan gonçalves,ps,setúbal
mário magalhães,psd,porto
nilza de sena,psd,beja
alma rivera,pcp,lisboa
catarina rocha ferreira,psd,porto
maria augusta santos,ps,braga
fernanda velez,psd,santaŕem
fernando jesus,ps,porto
pedro pimpão,psd,leiria
lídia bulcão,psd,açores
cristina sousa,ps,guarda
tiago brandão rodrigues,ps,viana do castelo
margarida almeida,psd,porto
jorge gomes,ps,bragança
alexandra tavares de moura,ps,lisboa
paulo rios de oliveira,psd,porto
luís fazenda,be,lisboa
maria da luz rosinha,ps,lisboa
manuel azenha,be,leiria
inês domingos,psd,viseu
rita borges madeira,ps,lisboa
josé ribeiro,ps,porto
sofia cabral,ps,setúbal
josé ferreira gomes,psd,bragança
manuel isaac,cds,leiria
